tsa_id,tsa_name,county,fips
A.,Amarillo,Armstrong,48011
A.,Amarillo,Briscoe,48045
A.,Amarillo,Carson,48065
A.,Amarillo,Childress,48075
A.,Amarillo,Collingsworth,48087
A.,Amarillo,Dallam,48111
A.,Amarillo,Deaf Smith,48117
A.,Amarillo,Donley,48129
A.,Amarillo,Gray,48179
A.,Amarillo,Hall,48191
A.,Amarillo,Hansford,48195
A.,Amarillo,Hartley,48205
A.,Amarillo,Hemphill,48211
A.,Amarillo,Hutchinson,48233
A.,Amarillo,Lipscomb,48295
A.,Amarillo,Moore,48341
A.,Amarillo,Ochiltree,48357
A.,Amarillo,Oldham,48359
A.,Amarillo,Parmer,48369
A.,Amarillo,Potter,48375
A.,Amarillo,Randall,48381
A.,Amarillo,Roberts,48393
A.,Amarillo,Sherman,48421
A.,Amarillo,Swisher,48437
A.,Amarillo,Wheeler,48483
B.,Lubbock,Bailey,48017
B.,Lubbock,Borden,48033
B.,Lubbock,Castro,48069
B.,Lubbock,Cochran,48079
B.,Lubbock,Cottle,48101
B.,Lubbock,Crosby,48107
B.,Lubbock,Dawson,48115
B.,Lubbock,Dickens,48125
B.,Lubbock,Floyd,48153
B.,Lubbock,Gaines,48165
B.,Lubbock,Garza,48169
B.,Lubbock,Hale,48189
B.,Lubbock,Hockley,48219
B.,Lubbock,Kent,48263
B.,Lubbock,King,48269
B.,Lubbock,lamb,48281
B.,Lubbock,Lubbock,48303
B.,Lubbock,Lynn,48305
B.,Lubbock,Motley,48345
B.,Lubbock,Scurry,48415
B.,Lubbock,Terry,48445
B.,Lubbock,Yoakum,48501
C.,Wichita Falls,Archer,48009
C.,Wichita Falls,Baylor,48023
C.,Wichita Falls,Clay,48077
C.,Wichita Falls,Foard,48155
C.,Wichita Falls,Hardeman,48197
C.,Wichita Falls,Jack,48237
C.,Wichita Falls,Montague,48337
C.,Wichita Falls,Wichita,48485
C.,Wichita Falls,Wilbarger,48487
C.,Wichita Falls,Young,48503
D.,Abilene,Brown,48049
D.,Abilene,Callahan,48059
D.,Abilene,Coleman,48083
D.,Abilene,Comanche,48093
D.,Abilene,Eastland,48133
D.,Abilene,Fisher,48151
D.,Abilene,Haskell,48207
D.,Abilene,Joes,48251
D.,Abilene,Knox,48275
D.,Abilene,Mitchell,48335
D.,Abilene,Nolan,48353
D.,Abilene,Shackelford,48417
D.,Abilene,Stephens,48429
D.,Abilene,Stonewall,48433
D.,Abilene,Taylor,48441
D.,Abilene,Throckmorton,48447
E.,Dallas/Ft. Worth,Collin,48085
E.,Dallas/Ft. Worth,Cooke,48097
E.,Dallas/Ft. Worth,Dallas,48113
E.,Dallas/Ft. Worth,Denton,48121
E.,Dallas/Ft. Worth,Ellis,48141
E.,Dallas/Ft. Worth,Erath,48143
E.,Dallas/Ft. Worth,Fannin,48147
E.,Dallas/Ft. Worth,Grayson,48181
E.,Dallas/Ft. Worth,Hood,48221
E.,Dallas/Ft. Worth,Hunt,48231
E.,Dallas/Ft. Worth,Johnson,48253
E.,Dallas/Ft. Worth,Kaufman,48257
E.,Dallas/Ft. Worth,Navarro,48349
E.,Dallas/Ft. Worth,Palo Pinto,48363
E.,Dallas/Ft. Worth,Parker,48367
E.,Dallas/Ft. Worth,Rockwall,48397
E.,Dallas/Ft. Worth,Somervell,48425
E.,Dallas/Ft. Worth,Tarrant,48439
E.,Dallas/Ft. Worth,Wise,48497
F.,Paris,Bowie,48037
F.,Paris,Cass,48067
F.,Paris,Delta,48119
F.,Paris,Hopkins,48223
F.,Paris,Lamar,48279
F.,Paris,Morris,48343
F.,Paris,Red River,48387
F.,Paris,Titus,48449
G.,Longview/Tyler,Anderson,48001
G.,Longview/Tyler,Camp,48063
G.,Longview/Tyler,Cherokee,48073
G.,Longview/Tyler,Franklin,48159
G.,Longview/Tyler,Freestone,48161
G.,Longview/Tyler,Gregg,48183
G.,Longview/Tyler,Harrison,48203
G.,Longview/Tyler,Henderson,48213
G.,Longview/Tyler,Houston,48225
G.,Longview/Tyler,Marion,48309
G.,Longview/Tyler,Panola,48365
G.,Longview/Tyler,Raines,48379
G.,Longview/Tyler,Rusk,48401
G.,Longview/Tyler,Shelby,48419
G.,Longview/Tyler,Smith,48423
G.,Longview/Tyler,Trinity,48455
G.,Longview/Tyler,Upshur,48459
G.,Longview/Tyler,Van Zandt,48467
G.,Longview/Tyler,Wood,48499
H.,Lufkin,Angelina,48005
H.,Lufkin,Nacogdoches,48347
H.,Lufkin,Polk,48373
H.,Lufkin,Sabine,48403
H.,Lufkin,San Augustine,48405
H.,Lufkin,San Jacinto,48407
H.,Lufkin,Tyler,48457
I.,El Paso,Culberson,48109
I.,El Paso,El Paso,48139
I.,El Paso,Hudspeth,48229
J.,Midland/Odessa,Andrews,48003
J.,Midland/Odessa,Brewster,48043
J.,Midland/Odessa,Crane,48103
J.,Midland/Odessa,Ector,48135
J.,Midland/Odessa,Glasscock,48173
J.,Midland/Odessa,Howard,48227
J.,Midland/Odessa,Jeff Davis,48243
J.,Midland/Odessa,Loving,48301
J.,Midland/Odessa,Martin,48311
J.,Midland/Odessa,Midland,48329
J.,Midland/Odessa,Pecos,48371
J.,Midland/Odessa,Presidio,48377
J.,Midland/Odessa,Reeves,48389
J.,Midland/Odessa,Terrell,48443
J.,Midland/Odessa,Upton,48461
J.,Midland/Odessa,Ward,48475
J.,Midland/Odessa,Winkler,48495
K.,San Angelo,Coke,48081
K.,San Angelo,Concho,48095
K.,San Angelo,Crockett,48105
K.,San Angelo,Irion,48235
K.,San Angelo,Kimble,48267
K.,San Angelo,Mason,48313
K.,San Angelo,McCulloch,48319
K.,San Angelo,Menard,48327
K.,San Angelo,Reagan,48383
K.,San Angelo,Runnels,48399
K.,San Angelo,Schleicher,48413
K.,San Angelo,Sterling,48431
K.,San Angelo,Sutton,48435
K.,San Angelo,Tom Green,48451
L.,Belton/Killeen,Bell,48027
L.,Belton/Killeen,Coryell,48099
L.,Belton/Killeen,Falls,48145
L.,Belton/Killeen,Hamilton,48193
L.,Belton/Killeen,Lampasas,48283
L.,Belton/Killeen,Milam,48331
L.,Belton/Killeen,Mills,48333
M.,Waco,Bosque,48035
M.,Waco,Hill,48217
M.,Waco,Limestone,48293
M.,Waco,McLennan,48321
N.,Bryan/College Station,Brazos,48041
N.,Bryan/College Station,Burleson,48051
N.,Bryan/College Station,Grimes,48185
N.,Bryan/College Station,Leon,48289
N.,Bryan/College Station,Madison,48307
N.,Bryan/College Station,Robertson,48395
N.,Bryan/College Station,Washington,48477
O.,Austin,Bastrop,48021
O.,Austin,Blanco,48031
O.,Austin,Burnet,48053
O.,Austin,Caldwell,48055
O.,Austin,Fayette,48149
O.,Austin,Hays,48209
O.,Austin,Lee,48287
O.,Austin,Llano,48299
O.,Austin,San Saba,48411
O.,Austin,Travis,48453
O.,Austin,Williamson,48491
P.,San Antonio,Atascosa,48013
P.,San Antonio,Bandera,48019
P.,San Antonio,Bexar,48029
P.,San Antonio,Comal,48091
P.,San Antonio,Dimmit,48127
P.,San Antonio,Edwards,48137
P.,San Antonio,Frio,48163
P.,San Antonio,Gillespie,48171
P.,San Antonio,Gonzales,48177
P.,San Antonio,Guadalupe,48187
P.,San Antonio,Karnes,48255
P.,San Antonio,Kendall,48259
P.,San Antonio,Kerr,48265
P.,San Antonio,Kinney,48271
P.,San Antonio,La Salle,48277
P.,San Antonio,Maverick,48317
P.,San Antonio,Medina,48325
P.,San Antonio,Real,48385
P.,San Antonio,Uvalde,48463
P.,San Antonio,Val Verde,48465
P.,San Antonio,Wilson,48493
P.,San Antonio,Zavala,48507
Q.,Houston,Austin,48015
Q.,Houston,Colorado,48089
Q.,Houston,Fort Bend,48157
Q.,Houston,Harris,48201
Q.,Houston,Matagorda,48315
Q.,Houston,Montgomery,48339
Q.,Houston,Walker,48471
Q.,Houston,Waller,48473
Q.,Houston,Wharton,48481
R.,Galveston,Brazoria,48039
R.,Galveston,Chambers,48071
R.,Galveston,Galveston,48167
R.,Galveston,Hardin,48199
R.,Galveston,Jasper,48241
R.,Galveston,Jefferson,48245
R.,Galveston,Liberty,48291
R.,Galveston,Newton,48351
R.,Galveston,Orange,48361
S.,Victoria,Calhoun,48057
S.,Victoria,Dewitt,48123
S.,Victoria,Goliad,48175
S.,Victoria,Jackson,48239
S.,Victoria,Lavaca,48285
S.,Victoria,Victoria,48469
T.,Laredo,Jim Hogg,48247
T.,Laredo,Webb,48479
T.,Laredo,Zapata,48505
U.,Corpus Christi,Aransas,48007
U.,Corpus Christi,Bee,48025
U.,Corpus Christi,Brooks,48047
U.,Corpus Christi,Duval,48131
U.,Corpus Christi,Jim Wells,48249
U.,Corpus Christi,Kenedy,48261
U.,Corpus Christi,Kleberg,48273
U.,Corpus Christi,Live Oak,48297
U.,Corpus Christi,McMullen,48323
U.,Corpus Christi,Nueces,48355
U.,Corpus Christi,Refugio,48391
U.,Corpus Christi,San Patricio,48409
V.,Lower Rio Grande Valley,Cameron,48061
V.,Lower Rio Grande Valley,Hidalgo,48215
V.,Lower Rio Grande Valley,Starr,48427
V.,Lower Rio Grande Valley,Willacy,48489
